id,original_language,overview,release_date,title,popularity,vote_average,vote_count,genre,director,year
11005,en,"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.",1990-12-04,Awakenings,4.6079,7.775,2622,Drama,Penny Marshall,1990
428493,en,"A young farmer in rural Yorkshire numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker.",2017-08-31,God's Own Country,5.2803,7.774,922,"Romance, Drama",Francis Lee,2017
5961,sv,"As children in the loving Ekdahl family, Fanny and Alexander enjoy a happy life with their parents, who run a theater company. After their father dies unexpectedly, however, the siblings end up in a joyless home when their mother, Emilie, marries a stern bishop. The bleak situation gradually grows worse as the bishop becomes more controlling, but dedicated relatives make a valiant attempt to aid Emilie, Fanny and Alexander.",1982-12-17,Fanny and Alexander,2.7728,7.772,795,"Fantasy, Drama, Mystery",Ingmar Bergman,1982
6844,en,"Escaping death, a Hebrew infant is raised in a royal household to become a prince. Upon discovery of his true heritage, Moses embarks on a personal quest to reclaim his destiny as the leader and liberator of the Hebrew people.",1956-10-05,The Ten Commandments,35.7585,7.772,1688,"Drama, History",Cecil B. DeMille,1956
144,de,"Two angels, Damiel and Cassiel, glide through the streets of Berlin, observing the bustling population, providing invisible rays of hope to the distressed but never interacting with them. When Damiel falls in love with lonely trapeze artist Marion, the angel longs to experience life in the physical world, and finds -- with some words of wisdom from actor Peter Falk -- that it might be possible for him to take human form.",1987-09-23,Wings of Desire,3.0707,7.771,1366,,,
169813,en,"Grace, a compassionate young supervisor at a foster care facility, helps at-risk teens. But when a new charge dredges up memories of her own troubled past, Grace's tough exterior begins eroding.",2013-08-23,Short Term 12,1.9823,7.77,1320,Drama,Destin Daniel Cretton,2013
141,en,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",2001-01-19,Donnie Darko,19.3428,7.77,12698,"Fantasy, Drama, Mystery",Richard Kelly,2001
715931,en,"Inspired by the gripping true story of a man who would do anything for his family—and for freedom. When Peter, an enslaved man, risks his life to escape and return to his family, he embarks on a perilous journey of love and endurance.",2022-12-02,Emancipation,11.3878,7.769,1161,"Drama, War, History",Antoine Fuqua,2022
165,en,"Marty and Doc are at it again as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.",1989-11-22,Back to the Future Part II,8.3532,7.769,13076,"Adventure, Comedy, Science Fiction",Robert Zemeckis,1989
25050,ja,A family gathers together for a commemorative ritual whose nature only gradually becomes clear.,2008-06-28,Still Walking,1.4074,7.768,386,"Drama, Family",Hirokazu Kore-eda,2008
946,en,"A pianist about to flee from a duel receives a letter from a woman he cannot remember. As she tells the story of her lifelong love for him, he is forced to reinterpret his own past.",1948-04-28,Letter from an Unknown Woman,1.9746,7.768,311,"Drama, Romance",Max Ophüls,1948
553,en,"When beautiful young Grace arrives in the isolated township of Dogville, the small community agrees to hide her from a gang of ruthless gangsters, and, in return, Grace agrees to do odd jobs for the townspeople.",2003-05-21,Dogville,7.0695,7.768,2474,"Crime, Drama, Thriller",Lars von Trier,2003
126319,fr,"Celestine is a little mouse trying to avoid a dental career while Ernest is a big bear craving an artistic outlet. When Celestine meets Ernest, they overcome their natural enmity by forging a life of crime together.",2012-12-12,Ernest & Celestine,1.9459,7.767,619,"Animation, Family, Adventure, Crime",Vincent Patar,2012
22504,fr,"A young shepherdess and a chimneysweep plan to get married and escape the clutches of a tyrannical king in love with her, assisted by the guile of a cheeky mockingbird, the king's archenemy.",1980-03-19,The King and the Mockingbird,1.3986,7.767,380,"Animation, Family, Fantasy",Paul Grimault,1980
18079,es,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"").",2000-08-31,Nine Queens,3.215,7.767,733,"Crime, Thriller, Drama",Fabián Bielinsky,2000
5511,fr,"After carrying out a flawlessly planned hit, Jef Costello, a contract killer with samurai instincts, finds himself caught between a persistent police investigator and a ruthless employer, and not even his armor of fedora and trench coat can protect him.",1967-10-25,Le Samouraï,4.6183,7.765,1139,"Crime, Thriller, Drama",Jean-Pierre Melville,1967
423612,de,"German artist Kurt Barnert has escaped East Germany and now lives in West Germany, but is tormented by his childhood under the Nazis and the GDR regime.",2018-10-03,Never Look Away,3.3114,7.764,685,"Drama, Romance, History",Florian Henckel von Donnersmarck,2018
980489,en,The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,2023-08-09,Gran Turismo,13.7717,7.763,2921,"Adventure, Action, Drama",Neill Blomkamp,2023
51533,zh,"When circumstances force an outlaw to impersonate a county governor and clean up a corrupt town, the Robin Hood figure finds himself in a showdown with the local godfather.",2010-12-20,Let the Bullets Fly,3.5237,7.8,304,,,
